,Unnamed: 0,review,Lemma,Polarity,Analysis,typeof,speaker
15,2,maximum accord person cannot never befor sex youll ever 21 befor thi program design last week still cant come weekend away advis come week taken begin surfac dont instruct ga exampl class go three week name inhabit end second third week lil bit difficult enough enter insult activ movi free download sinc write begin becaus dont allow know conform happen assist director indian breakfast ke mai ke mai last week decemb session first visit new discuss visit bomb wa difficult last week outta head request server quest januari session start group begin session wa easi feel floor class 12 granul infanc servic offer sever option take home way go hear heart babi base price 11 hour day access privat room breakfast minut repli thank live without thi itna hotel home doesnt matter creat commun peopl get know complet way peopl home class goa train famili wish highest pay 24 hour day commit larg medium everyon 14 hour food allah miya famili purpos invest new light weight even live 730 simpl templ se effort requir form formal way say possibl come visit time help posit even dont speak come end make reserv call birth shop cook thi even also incorpor program way want enrol begin program,  maximum accord person never sex ever program design last week still come weekend away advise come week take beginning surface instruction gas example class go three week name inhabit end second third week Lil bit difficult enough enter insult activate movie free download since write beginning allow know conformity happen assistant director Indian breakfast Ke Mai Ke Mai last week December session first visit new discussion visit bomb difficult last week Outta Head request server quest January session start group beginning session easy feel floor class granule infancy service offer several option take home way go hear heart baby base price hour day access private room breakfast minute reply thank live without Itna hotel home matter create communicate people get know complete way people home class Goa train family wish high pay hour day commit large medium everyone hour food Allah Miya family purpose invest new light weight even live simple Temple se effort require form formal way say possible come visiting time help positive even speak come end make reservation call birth shopping cook evening also incorporate program way want enroll beginning program,0.0372138528138528,Positive,Clarify,Speaker_0
16,3,movi incom weekend away advis come week taken begin second dont instruct ga exampl class go three week name inhabit end second third week lil bit difficult enough enter insult activ movi free download sinc write begin becaus dont allow know conform happen analysi instructor near 100 km km last two week decemb session first visit ani resist visit bomb wa wa difficult last week dont head request server quest januari session start west group begin sun action wa easi feel floor class 12 ground rule infanc servic offer sever option take home way go hear heart babi base price 11 hour day access privat room breakfast battl cancer nich onlin without thi itna hotel home hasnt work mofo commun peopl get know becaus way help anoth class 2 class veri nice amit famili wish aadami health km 4 hour day commit larg mid day meal everyon 14 hour food allah miya famili purpos veri light weight even live 730 simpl templ se effort requir form formal way say possibl come visit us posit even dont speak make reserv call birth shop cook thi even also incorpor program way want enrol begin program would also expect give idea togeth christma day 1953 400 2nd 100 mile away ok,  movie income weekend away advise come week take beginning second instruction gas example class go three week name inhabit end second third week Lil bit difficult enough enter insult activate movie free download since write beginning allow know conformity happen analysis instructor near km km last two week December session first visit resistance visit bomb difficult last week head request server quest January session start west group beginning sun action easy feel floor class ground rule infancy service offer several option take home way go hear heart baby base price hour day access private room breakfast battle cancer niche online without Itna hotel home work mofo communicate people get know way help another class class nice Amit family wish aadami health km hour day commit large mid day meal everyone hour food Allah Miya family purpose light weight even live simple Temple se effort require form formal way say possible come visit us positive even speak make reservation call birth shopping cook evening also incorporate program way want enroll beginning program would also expect give idea together Christmas Day nd mile away ok,0.0624502164502164,Positive,Clarify,Speaker_0
17,4,vvr furnitur collect two devic take host famili home base price 11 hour day access privat room breakfast near nagpuri 2002 onlin without home idea summ experi commun peopl know becaus way help anoth class goa train famili wish aadami highest pay 24 hour day commit larg medium everyon 14 dollar food allah miya famili process activ light weight even alway 730 simpl templ se father form formal way say possibl outcom littl even dont come make reserv whatsapp incom thi weav also incorpor program way want enrol begin program would also expect give idea togeth price mighti power station se 400 100 per day weight ok,  vvr furniture collection two device take host family home base price hour day access private room breakfast near Nagpuri online without home idea summative experience communicate people know way help another class Goa train family wish aadami high pay hour day commit large medium everyone dollar food Allah Miya family process activity light weight even always simple Temple se father form formal way say possible outcome little even come make reservation WhatsApp incoming weaving also incorporate program way want enroll beginning program would also expect give idea together price Mighty power station se per day weight OK,0.071525974025974,Positive,Clarify,Speaker_0
18,5,time mexico run freedom want hums anyway altern accommod sbi help hi apart hotel nation bank need posit im even dont speak outstand contribut educ whatsapp think incorpor program,  time Mexico Run freedom want Humse anyways alternative accommodation SBI help Apartment Hotel National Bank need positive even speak outstanding contribution education WhatsApp thinking incorporate program,0.3636363636363636,Positive,Clarify,Speaker_0
19,6,fear file 19 50 hour medit c 400 2nd 100 dollar way ani inform pressur possibl anyon ok,  Fear Files hour meditation c nd dollar way information pressure possible anyone ok,0.25,Positive,Clarify,Speaker_0
20,7,ok ok name richard gana dress,  ok ok name Richard gana dress,0.5,Positive,Accept,Speaker_0
21,8,1602 hurst avenu h e r p valu berkeley california,  hurst Avenue h e r p value Berkeley California,0.0,Neutral,Clarify,Speaker_0
22,9,11, ,0.0,Neutral,Statement,Speaker_0
23,10,someth play around back first time us stand say place,  something play around back first time u stand say place,0.125,Positive,Clarify,Speaker_0
24,11,g n r 16 2 1st avenu 88th st berkeley california 94720 want talk send,  g n r st Avenue th St Berkeley California want talk send,0.0,Neutral,Other,Speaker_0
